GNI,HDI,Health Index,Poverty,Malnourished Children,CPI,Wealth Inequality,,Health Index,Malnourished Children
9.515,0.68,0.833,66.8,11.2,142.7,0.15,,0.833,11.2
9.907,0.771,0.893,77.5,4.47,142.7,0.09,,0.893,4.47
9.916,0.735,0.841,77.7,8.63,144.5,0.05,,0.841,8.63
9,0.606,0.745,52.9,11.9,139.9,0.25,,0.745,11.9
9.548,0.699,0.835,67.8,11.9,137.2,0.17,,0.835,11.9
9.086,0.692,0.839,55.2,2.8,137,0.2,,0.839,2.8
9.147,0.655,0.807,56.9,7.37,157.2,0.19,,0.807,7.37
9.789,0.702,0.779,74.3,3.07,139.1,0.13,,0.779,3.07
9.314,0.681,0.822,61.4,7.13,133.9,0.17,,0.822,7.13
10,0.744,0.83,80.1,5.87,147.2,0.1,,0.83,5.87
8.88,0.607,0.77,49.6,8.6,143.4,0.24,,0.77,8.6
9.882,0.739,0.851,76.8,5.13,140.4,0.11,,0.851,5.13
9.983,0.712,0.82,79.6,5.17,138.1,0.1,,0.82,5.17
9.396,0.643,0.778,63.6,10.4,140.3,0.2,,0.778,10.4
9.689,0.715,0.842,71.6,4.67,147.9,0.11,,0.842,4.67
9.541,0.702,0.847,67.6,6.57,141.8,0.15,,0.847,6.57
9.504,0.662,0.802,66.6,9.07,142.3,0.15,,0.802,9.07
8.938,0.646,0.829,51.2,7.77,149.2,0.21,,0.829,7.77
8.93,0.6,0.718,51,11.4,138.6,0.25,,0.718,11.4
9.561,0.684,0.787,68.1,7.5,134.7,0.16,,0.787,7.5
9.018,0.637,0.816,53.4,9.47,142.5,0.21,,0.816,9.47
9.79,0.719,0.882,75.9,7.2,154,0.12,,0.882,7.2
9.468,0.642,0.791,67.1,8.6,144.4,0.14,,0.791,8.6
9.507,0.677,0.826,68.2,5.6,158,0.14,,0.826,5.6
8.796,0.609,0.769,48.8,11,150.3,0.22,,0.769,11
8.656,0.581,0.768,45,13.3,143.9,0.23,,0.768,13.3
10.1,0.759,0.84,84.4,5.9,141.1,0.09,,0.84,5.9
9.112,0.617,0.743,57.4,9.5,143.4,0.2,,0.743,9.5
9.143,0.631,0.824,58.3,14.7,140.8,0.17,,0.824,14.7
9.571,0.674,0.831,69.9,7.5,145.7,0.13,,0.831,7.5
10.11,0.765,0.87,84.7,6.2,144.4,0.08,,0.87,6.2
9.536,0.65,0.803,69,13.9,145.9,0.17,,0.803,13.9
9.839,0.704,0.814,77.2,5.5,141.6,0.11,,0.814,5.5
9.812,0.717,0.815,76.5,7.1,142.1,0.11,,0.815,7.1
9.722,0.712,0.821,74,7.8,142.2,0.14,,0.821,7.8
8.753,0.6,0.771,47.6,13.6,151.8,0.24,,0.771,13.6
9.557,0.679,0.836,69.5,10,146.8,0.14,,0.836,10
9.859,0.766,0.897,77.8,4.2,151,0.09,,0.897,4.2
9.872,0.728,0.844,78.1,9.7,154.6,0.05,,0.844,9.7
9.051,0.607,0.748,55.7,10.2,147.5,0.22,,0.748,10.2
9.578,0.701,0.838,70.1,11.9,143.7,0.16,,0.838,11.9
9.095,0.691,0.842,56.9,2.9,142.6,0.19,,0.842,2.9
9.163,0.654,0.811,58.8,7,168.4,0.17,,0.811,7
9.782,0.701,0.782,75.7,2.9,141.2,0.11,,0.782,2.9
9.322,0.683,0.825,63.1,7.9,140.4,0.17,,0.825,7.9
9.982,0.744,0.834,81.1,5.6,153.3,0.09,,0.834,5.6
8.961,0.608,0.773,53.3,7.9,146.1,0.22,,0.773,7.9
9.917,0.739,0.854,79.4,3.5,147.9,0.1,,0.854,3.5
9.953,0.707,0.824,80.3,4.2,143.6,0.09,,0.824,4.2
9.468,0.65,0.781,67.1,9,147.4,0.17,,0.781,9
9.632,0.715,0.845,71.6,5.2,153.3,0.11,,0.845,5.2
9.546,0.699,0.851,69.2,5.7,149.1,0.15,,0.851,5.7
9.52,0.658,0.805,68.5,9.7,144.6,0.14,,0.805,9.7
8.954,0.64,0.832,53.1,8.5,157.2,0.2,,0.832,8.5
8.989,0.603,0.721,54.1,10.6,145.1,0.22,,0.721,10.6
9.595,0.684,0.79,70.6,6.6,142.4,0.15,,0.79,6.6
9.04,0.636,0.82,55.5,9.7,146.7,0.2,,0.82,9.7
